Customer_ID,Customer_Name,Segment,Province,Region_Group,City,Customer_Since
C0001,Lerato Moyo,Corporate,Gauteng,Inland,Pretoria,2024-02-17
C0002,Lerato Maseko,Corporate,Gauteng,Inland,Johannesburg,2021-03-23
C0003,Nokuthula Mathebula,Corporate,KwaZulu-Natal,Coastal,Pinetown,2021-03-27
C0004,Nomsa Naidoo,Small Business,Gauteng,Inland,Pretoria,2023-11-30
C0005,Tariro Chuma,Consumer,Gauteng,Inland,Soweto,2020-07-28
C0006,Thabo Mabena,Consumer,Mpumalanga,Inland,Middelburg,2021-06-25
C0007,Tendai Mokoena,Corporate,Northern Cape,Inland,Upington,2020-06-10
C0008,Sibusiso Williams,Small Business,KwaZulu-Natal,Coastal,Umhlanga,2023-03-28
C0009,Zanele Maseko,Consumer,Gauteng,Inland,Soweto,2020-06-12
C0010,Nokuthula Dube,Consumer,Western Cape,Coastal,George,2020-11-29
C0011,Blessing Mthembu,Consumer,Gauteng,Inland,Johannesburg,2023-06-01
C0012,Sipho Sibanda,Consumer,Western Cape,Coastal,Bellville,2023-11-03
C0013,Farai Ndlovu,Consumer,Gauteng,Inland,Soweto,2022-04-01
C0014,Mpho Maseko,Consumer,North West,Inland,Klerksdorp,2021-10-06
C0015,Zanele Nkosi,Consumer,North West,Inland,Mahikeng,2020-10-19
C0016,Mpho Patel,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2024-03-09
C0017,Nandi Gumede,Small Business,Western Cape,Coastal,Bellville,2020-10-10
C0018,Precious Nkosi,Consumer,Gauteng,Inland,Johannesburg,2020-11-09
C0019,Sipho Gumede,Corporate,Western Cape,Coastal,Stellenbosch,2022-12-19
C0020,Mpho Moyo,Corporate,Gauteng,Inland,Soweto,2024-04-23
C0021,Farai Dube,Consumer,Gauteng,Inland,Johannesburg,2024-01-18
C0022,Mpho Mathebula,Small Business,KwaZulu-Natal,Coastal,Durban,2024-11-17
C0023,Chipo Mathebula,Corporate,Gauteng,Inland,Pretoria,2023-01-09
C0024,Precious Moyo,Corporate,Western Cape,Coastal,Cape Town,2022-01-13
C0025,Chipo Sibanda,Consumer,Limpopo,Inland,Polokwane,2020-06-24
C0026,Brian Maseko,Small Business,KwaZulu-Natal,Coastal,Pietermaritzburg,2020-09-19
C0027,Brian Khumalo,Consumer,Limpopo,Inland,Tzaneen,2021-03-09
C0028,Sibusiso Mahlangu,Corporate,Western Cape,Coastal,George,2022-06-16
C0029,Precious Mokoena,Consumer,Gauteng,Inland,Soweto,2020-02-13
C0030,Nandi Sibanda,Corporate,Gauteng,Inland,Johannesburg,2021-04-13
C0031,Thabo Ndlovu,Small Business,Gauteng,Inland,Pretoria,2021-07-24
C0032,Brian Mahlangu,Corporate,Free State,Inland,Sasolburg,2023-03-26
C0033,Brian Sibanda,Small Business,Mpumalanga,Inland,Mbombela,2020-07-12
C0034,Lerato Gumede,Consumer,Western Cape,Coastal,Cape Town,2023-10-11
C0035,Lerato Ndlovu,Consumer,Western Cape,Coastal,Cape Town,2021-05-24
C0036,Zanele Mahlangu,Corporate,Gauteng,Inland,Pretoria,2021-07-24
C0037,Nomsa Sibanda,Small Business,Gauteng,Inland,Johannesburg,2020-04-13
C0038,Sibusiso Moyo,Small Business,North West,Inland,Rustenburg,2020-12-06
C0039,Tariro Nkosi,Consumer,Limpopo,Inland,Polokwane,2020-12-03
C0040,Kabelo Moyo,Small Business,Gauteng,Inland,Midrand,2021-08-07
C0041,Tariro Nkosi,Consumer,Gauteng,Inland,Johannesburg,2023-04-01
C0042,Sibusiso Ndlovu,Corporate,Gauteng,Inland,Midrand,2022-10-26
C0043,Precious Khumalo,Consumer,KwaZulu-Natal,Coastal,Pietermaritzburg,2020-05-20
C0044,Kudzai Maseko,Corporate,Gauteng,Inland,Johannesburg,2024-12-28
C0045,Nandi Sibanda,Corporate,Gauteng,Inland,Johannesburg,2022-05-08
C0046,Nandi Mathebula,Consumer,Gauteng,Inland,Soweto,2021-05-03
C0047,Mpho Mabena,Consumer,Eastern Cape,Coastal,East London,2021-10-09
C0048,Thabo Moyo,Consumer,Northern Cape,Inland,Kimberley,2020-05-30
C0049,Sibusiso Mahlangu,Corporate,Gauteng,Inland,Soweto,2024-12-09
C0050,Thabo Sibanda,Consumer,Gauteng,Inland,Soweto,2023-06-06
C0051,Precious Moyo,Corporate,KwaZulu-Natal,Coastal,Durban,2024-12-03
C0052,Amina Naidoo,Consumer,Gauteng,Inland,Pretoria,2021-07-11
C0053,Chipo Mahlangu,Corporate,Gauteng,Inland,Soweto,2022-11-01
C0054,Brian Naidoo,Small Business,Mpumalanga,Inland,Mbombela,2023-07-23
C0055,Tariro Naidoo,Consumer,Western Cape,Coastal,Bellville,2023-07-28
C0056,Mpho Khumalo,Corporate,KwaZulu-Natal,Coastal,Pinetown,2023-02-22
C0057,Rumbidzai Dube,Consumer,Limpopo,Inland,Polokwane,2023-01-22
C0058,Tendai Mthembu,Corporate,Gauteng,Inland,Pretoria,2020-03-26
C0059,Chipo Mthembu,Small Business,Mpumalanga,Inland,Mbombela,2022-01-02
C0060,Zanele Sibanda,Corporate,Western Cape,Coastal,Stellenbosch,2023-06-25
