Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Product_ID,Product_Name,Category,Subcategory,Province,Region_Group,City,Channel,Payment_Method,Ship_Mode,Quantity,Unit_Price_USD,Discount,Gross_Sales_USD,Discount_Amount_USD,Net_Sales_USD,Unit_Cost_USD,Total_Cost_USD,Profit_USD,Profit_Margin,Delivery_Days,Return_Status
ORD100001,2024-03-12,2024-03-15,C0137,Sibusiso Nkosi,Consumer,P1030,Dinner Set 16 Piece,Home & Kitchen,Dining,KwaZulu-Natal,Coastal,Pinetown,Retail Store,Cash,Standard,5,43.63,0.0,218.15,0.0,218.15,25.46,127.3,90.85,0.4165,3,Not Returned
ORD100002,2025-06-16,2025-06-18,C0497,Lerato Gumede,Corporate,P1026,Kettle Stainless Steel,Home & Kitchen,Small Appliances,Western Cape,Coastal,Bellville,Retail Store,Cash,Standard,1,24.4,0.1,24.4,2.44,21.96,14.57,14.57,7.39,0.3365,2,Not Returned
ORD100003,2023-06-22,2023-06-23,C0144,Precious Moyo,Corporate,P1031,Corporate Shirt,Apparel,Workwear,KwaZulu-Natal,Coastal,Pinetown,Online,Mobile Money,Standard,5,15.55,0.0,77.75,0.0,77.75,7.15,35.75,42.0,0.5402,1,Not Returned
ORD100004,2024-07-20,2024-07-22,C0096,Rumbidzai Mabena,Corporate,P1015,Desk Organiser,Office Supplies,Desk Accessories,Eastern Cape,Coastal,Gqeberha,Corporate Account,Mobile Money,Standard,2,10.96,0.0,21.92,0.0,21.92,7.27,14.54,7.38,0.3367,2,Returned
ORD100005,2023-08-19,2023-08-23,C0075,Zanele Gumede,Small Business,P1007,USB-C Dock,Technology,Accessories,KwaZulu-Natal,Coastal,Umhlanga,Corporate Account,Card,Standard,1,80.37,0.0,80.37,0.0,80.37,50.95,50.95,29.42,0.3661,4,Returned
ORD100006,2024-12-16,2024-12-21,C0356,Nomsa Mathebula,Consumer,P1010,A4 Copy Paper Box,Office Supplies,Paper & Stationery,North West,Inland,Klerksdorp,Retail Store,Mobile Money,Standard,1,28.84,0.0,28.84,0.0,28.84,15.24,15.24,13.6,0.4716,5,Not Returned
ORD100007,2023-07-06,2023-07-10,C0003,Nokuthula Mathebula,Corporate,P1019,Ergonomic Chair,Furniture,Chairs,KwaZulu-Natal,Coastal,Pinetown,Online,Card,Express,1,139.77,0.1,139.77,13.98,125.79,93.89,93.89,31.9,0.2536,4,Not Returned
ORD100008,2025-04-30,2025-05-03,C0494,Tendai Mabena,Corporate,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,Free State,Inland,Bloemfontein,Retail Store,Card,Standard,1,8.71,0.15,8.71,1.31,7.4,4.5,4.5,2.9,0.3919,3,Not Returned
ORD100009,2023-06-11,2023-06-13,C0189,Nandi Patel,Small Business,P1018,Whiteboard Marker Set,Office Supplies,Presentation,Eastern Cape,Coastal,East London,Online,EFT,Express,4,8.1,0.0,32.4,0.0,32.4,3.69,14.76,17.64,0.5444,2,Not Returned
ORD100010,2023-05-16,2023-05-18,C0117,Nokuthula Williams,Corporate,P1024,Reception Chair,Furniture,Chairs,Western Cape,Coastal,George,Online,Card,Collection,4,58.76,0.15,235.04,35.26,199.78,37.27,149.08,50.7,0.2538,2,Not Returned
ORD100011,2023-08-26,2023-08-28,C0312,Tendai Naidoo,Corporate,P1003,Business Laptop 15,Technology,Laptops,Free State,Inland,Welkom,Corporate Account,Cash,Standard,1,594.84,0.05,594.84,29.74,565.1,413.95,413.95,151.15,0.2675,2,Not Returned
ORD100012,2023-10-09,2023-10-11,C0194,Tendai Chuma,Consumer,P1013,Printer Toner Black,Office Supplies,Printing,Gauteng,Inland,Pretoria,Retail Store,Cash,Express,5,59.75,0.05,298.75,14.94,283.81,42.45,212.25,71.56,0.2521,2,Not Returned
ORD100013,2023-12-08,2023-12-10,C0305,Farai Maseko,Consumer,P1027,Toaster 4 Slice,Home & Kitchen,Small Appliances,Eastern Cape,Coastal,East London,Retail Store,Card,Collection,4,36.46,0.0,145.84,0.0,145.84,23.56,94.24,51.6,0.3538,2,Not Returned
ORD100014,2024-11-17,2024-11-22,C0455,Thabo Williams,Consumer,P1014,Ink Cartridge Colour,Office Supplies,Printing,Free State,Inland,Bloemfontein,Retail Store,EFT,Standard,4,31.61,0.0,126.44,0.0,126.44,19.57,78.28,48.16,0.3809,5,Returned
ORD100015,2025-07-21,2025-07-24,C0470,Brian Gumede,Corporate,P1032,Safety Shoes,Apparel,Footwear,Western Cape,Coastal,Bellville,Online,Card,Collection,1,45.89,0.0,45.89,0.0,45.89,28.05,28.05,17.84,0.3888,3,Not Returned
ORD100016,2023-08-25,2023-08-26,C0409,Kudzai Nkosi,Corporate,P1028,Air Fryer 5L,Home & Kitchen,Appliances,Gauteng,Inland,Midrand,Corporate Account,Card,Standard,1,116.72,0.1,116.72,11.67,105.05,70.38,70.38,34.67,0.33,1,Returned
ORD100017,2025-02-23,2025-03-01,C0055,Tariro Naidoo,Consumer,P1027,Toaster 4 Slice,Home & Kitchen,Small Appliances,Western Cape,Coastal,Bellville,Online,Cash,Express,2,38.82,0.05,77.64,3.88,73.76,22.41,44.82,28.94,0.3924,6,Not Returned
ORD100018,2025-05-08,2025-05-12,C0396,Lerato Nkosi,Small Business,P1032,Safety Shoes,Apparel,Footwear,Eastern Cape,Coastal,Mthatha,Online,Cash,Express,3,54.11,0.0,162.33,0.0,162.33,26.01,78.03,84.3,0.5193,4,Not Returned
ORD100019,2023-09-02,2023-09-03,C0384,Tendai Mabena,Consumer,P1032,Safety Shoes,Apparel,Footwear,KwaZulu-Natal,Coastal,Durban,Corporate Account,Mobile Money,Same Day,1,45.24,0.0,45.24,0.0,45.24,26.68,26.68,18.56,0.4103,1,Not Returned
